,objectId,srcObject,regionKey,objectType,objectCn,objectCon,subjectId,regionId,settlementId,street,house,addressNotes,okato,apartment,nobjectCn,nobjectCon
0,77:5:6004:10147,1,177,002009000000,77:05:0006004:10147,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 1",,1,77:5:6004:10147,
1,177_13434591301,2,177,002002002000,77:05:0006004:10147,77-77-20/176/2006-1164,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 1",,1,77:5:6004:10147,77-77-20/176/2006-1164
2,77:5:6004:10195,1,177,002009000000,77:05:0006004:10195,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 10",,10,77:5:6004:10195,
3,177_367262301,2,177,002002002000,77:05:0006004:10195,77-77-05/024/2006-310,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.10",,10,77:5:6004:10195,77-77-5/24/2006-310
4,77:5:6004:10361,1,177,002009000000,77:05:0006004:10361,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 100",,100,77:5:6004:10361,
5,177_1690680301,2,177,002002002000,77:05:0006004:10361,1-1809369,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 100",,100,77:5:6004:10361,1-1809369
6,77:5:6004:10390,1,177,002009000000,77:05:0006004:10390,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 101",,101,77:5:6004:10390,
7,177_1178483701001,2,177,002002002000,77:05:0006004:10390,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.101",,101,77:5:6004:10390,
8,77:5:6004:10391,1,177,002009000000,77:05:0006004:10391,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 102",,102,77:5:6004:10391,
9,177_1784710301,2,177,002002002000,77:05:0006004:10391,1-1910027,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 102",,102,77:5:6004:10391,1-1910027
10,77:5:6004:10392,1,177,002009000000,77:05:0006004:10392,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 103",,103,77:5:6004:10392,
11,177_12500017301,2,177,002002002000,77:05:0006004:10392,1-3038979,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 103",,103,77:5:6004:10392,1-3038979
12,77:5:6004:10393,1,177,002009000000,77:05:0006004:10393,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 104",,104,77:5:6004:10393,
13,77:5:6004:10422,1,177,002009000000,77:05:0006004:10422,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 105",,105,77:5:6004:10422,
14,177_13295709301,2,177,002002002000,77:05:0006004:10422,77-77-05/016/2006-36,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.МОСКВА, КИРОВОГРАДСКАЯ УЛ., дом 5 кв. 105",,105,77:5:6004:10422,77-77-5/16/2006-36
15,77:5:6004:10423,1,177,002009000000,77:05:0006004:10423,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 106",,106,77:5:6004:10423,
16,177_367264301,2,177,002002002000,77:05:0006004:10423,1-701340,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.106",,106,77:5:6004:10423,1-701340
17,77:5:6004:10424,1,177,002009000000,77:05:0006004:10424,,145000000000,145296000000,145296593000,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 107",,107,77:5:6004:10424,
18,177_367265301,2,177,002002002000,77:05:0006004:10424,77-77-04/016/2010-862,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"г.Москва, ул.Кировоградская, д.5, кв.107",,107,77:5:6004:10424,77-77-4/16/2010-862
19,77:5:6004:10425,1,177,002009000000,77:05:0006004:10425,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 108",,108,77:5:6004:10425,
20,77:5:6004:10454,1,177,002009000000,77:05:0006004:10454,,145000000000,0,0,КИРОВОГРАДСКАЯ|УЛ,5||,"ул Кировоградская, д. 5, 109",,109,77:5:6004:10454,
